season,round,driver_id,stop,lap,time,duration,duration_s,pos_before,pos_after,position_change,position_gained
2011,1,webber,1,11,17:20:48,23.426,23.426,3.0,7.0,-4.0,0
2011,1,alonso,1,12,17:22:34,23.251,23.251,5.0,10.0,-5.0,0
2011,1,massa,1,13,17:24:10,23.842,23.842,5.0,10.0,-5.0,0
2011,1,barrichello,1,13,17:24:29,23.643,23.643,14.0,15.0,-1.0,0
2011,1,vettel,1,14,17:25:17,22.603,22.603,1.0,2.0,-1.0,0
2011,1,resta,1,14,17:26:03,24.863,24.863,10.0,16.0,-6.0,0
2011,1,ambrosio,1,14,17:26:50,25.259,25.259,20.0,21.0,-1.0,0
2011,1,buemi,1,15,17:27:34,25.342,25.342,8.0,12.0,-4.0,0
2011,1,heidfeld,1,15,17:27:41,22.994,22.994,11.0,15.0,-4.0,0
2011,1,hamilton,1,16,17:28:24,23.227,23.227,1.0,2.0,-1.0,0
2011,1,petrov,1,16,17:28:39,24.535,24.535,2.0,4.0,-2.0,0
2011,1,rosberg,1,16,17:29:00,23.716,23.716,5.0,9.0,-4.0,0
2011,1,kobayashi,1,16,17:29:06,24.064,24.064,7.0,10.0,-3.0,0
2011,1,sutil,1,16,17:29:08,25.978,25.978,8.0,14.0,-6.0,0
2011,1,trulli,1,16,17:29:49,24.899,24.899,18.0,19.0,-1.0,0
2011,1,alguersuari,2,17,17:31:06,24.463,24.463,11.0,16.0,-5.0,0
2011,1,kovalainen,1,17,17:31:11,24.865,24.865,13.0,17.0,-4.0,0
2011,1,michael_schumacher,2,17,17:32:08,23.988,23.988,20.0,20.0,0.0,0
2011,1,glock,1,18,17:33:02,23.792,23.792,16.0,19.0,-3.0,0
2011,1,button,2,19,17:33:53,23.303,23.303,6.0,12.0,-6.0,0
2011,1,perez,1,23,17:40:27,23.438,23.438,7.0,13.0,-6.0,0
2011,1,barrichello,2,23,17:40:45,37.856,37.856,9.0,15.0,-6.0,0
2011,1,webber,2,26,17:44:29,22.520,22.52,3.0,5.0,-2.0,0
2011,1,alonso,2,27,17:46:04,24.733,24.733,4.0,6.0,-2.0,0
2011,1,barrichello,3,28,17:49:07,16.892,16.892,15.0,15.0,0.0,0
2011,1,buemi,2,29,17:49:47,23.100,23.1,9.0,12.0,-3.0,0
2011,1,heidfeld,2,30,17:51:32,25.098,25.098,11.0,14.0,-3.0,0
2011,1,massa,2,31,17:52:28,24.500,24.5,4.0,7.0,-3.0,0
2011,1,kobayashi,2,32,17:54:21,24.192,24.192,7.0,11.0,-4.0,0
2011,1,vettel,2,36,17:59:17,24.036,24.036,1.0,1.0,0.0,0
2011,1,hamilton,2,36,17:59:29,23.199,23.199,2.0,2.0,0.0,0
2011,1,alguersuari,3,35,17:59:45,26.348,26.348,13.0,14.0,-1.0,0
2011,1,petrov,2,36,17:59:47,25.683,25.683,3.0,5.0,-2.0,0
2011,1,resta,2,36,18:00:48,24.332,24.332,9.0,12.0,-3.0,0
2011,1,button,3,37,18:01:49,22.681,22.681,6.0,7.0,-1.0,0
