season,driver_id,given_name,family_name,nationality
2011,alguersuari,Jaime,Alguersuari,Spanish
2011,alonso,Fernando,Alonso,Spanish
2011,barrichello,Rubens,Barrichello,Brazilian
2011,buemi,Sébastien,Buemi,Swiss
2011,button,Jenson,Button,British
2011,chandhok,Karun,Chandhok,Indian
2011,glock,Timo,Glock,German
2011,hamilton,Lewis,Hamilton,British
2011,heidfeld,Nick,Heidfeld,German
2011,karthikeyan,Narain,Karthikeyan,Indian
2011,kobayashi,Kamui,Kobayashi,Japanese
2011,kovalainen,Heikki,Kovalainen,Finnish
2011,liuzzi,Vitantonio,Liuzzi,Italian
2011,maldonado,Pastor,Maldonado,Venezuelan
2011,massa,Felipe,Massa,Brazilian
2011,petrov,Vitaly,Petrov,Russian
2011,perez,Sergio,Pérez,Mexican
2011,ricciardo,Daniel,Ricciardo,Australian
2011,rosberg,Nico,Rosberg,German
2011,michael_schumacher,Michael,Schumacher,German
2011,bruno_senna,Bruno,Senna,Brazilian
2011,sutil,Adrian,Sutil,German
2011,trulli,Jarno,Trulli,Italian
2011,vettel,Sebastian,Vettel,German
2011,webber,Mark,Webber,Australian
2011,ambrosio,Jérôme,d'Ambrosio,Belgian
2011,rosa,Pedro,de la Rosa,Spanish
2011,resta,Paul,di Resta,British
2012,grosjean,Romain,Grosjean,French
2012,hulkenberg,Nico,Hülkenberg,German
2012,pic,Charles,Pic,French
2012,raikkonen,Kimi,Räikkönen,Finnish
2012,vergne,Jean-Éric,Vergne,French
2013,jules_bianchi,Jules,Bianchi,French
2013,bottas,Valtteri,Bottas,Finnish
2013,chilton,Max,Chilton,British
2013,gutierrez,Esteban,Gutiérrez,Mexican
2013,garde,Giedo,van der Garde,Dutch
2014,ericsson,Marcus,Ericsson,Swedish
2014,kvyat,Daniil,Kvyat,Russian
2014,lotterer,André,Lotterer,German
2014,kevin_magnussen,Kevin,Magnussen,Danish
2014,stevens,Will,Stevens,British
2015,merhi,Roberto,Merhi,Spanish
2015,nasr,Felipe,Nasr,Brazilian
2015,rossi,Alexander,Rossi,American
2015,sainz,Carlos,Sainz,Spanish
2015,max_verstappen,Max,Verstappen,Dutch
2016,haryanto,Rio,Haryanto,Indonesian
2016,ocon,Esteban,Ocon,French
2016,jolyon_palmer,Jolyon,Palmer,British
2016,vandoorne,Stoffel,Vandoorne,Belgian
2016,wehrlein,Pascal,Wehrlein,German
2017,gasly,Pierre,Gasly,French
2017,giovinazzi,Antonio,Giovinazzi,Italian
2017,brendon_hartley,Brendon,Hartley,New Zealander
2017,stroll,Lance,Stroll,Canadian
2018,leclerc,Charles,Leclerc,Monegasque
2018,sirotkin,Sergey,Sirotkin,Russian
2019,albon,Alexander,Albon,Thai
2019,kubica,Robert,Kubica,Polish
2019,norris,Lando,Norris,British
2019,russell,George,Russell,British
2020,aitken,Jack,Aitken,British
2020,pietro_fittipaldi,Pietro,Fittipaldi,Brazilian
2020,latifi,Nicholas,Latifi,Canadian
2021,mazepin,Nikita,Mazepin,Russian
2021,mick_schumacher,Mick,Schumacher,German
2021,tsunoda,Yuki,Tsunoda,Japanese
2022,zhou,Guanyu,Zhou,Chinese
2022,de_vries,Nyck,de Vries,Dutch
2023,lawson,Liam,Lawson,New Zealander
2023,piastri,Oscar,Piastri,Australian
2023,sargeant,Logan,Sargeant,American
