season,round,lap,driver_id,position,time
2011,1,1,vettel,1,1:38.109
2011,1,1,hamilton,2,1:40.573
2011,1,1,webber,3,1:41.467
2011,1,1,petrov,4,1:42.835
2011,1,1,massa,5,1:44.196
2011,1,1,button,6,1:44.722
2011,1,1,rosberg,7,1:45.340
2011,1,1,kobayashi,8,1:45.896
2011,1,1,alonso,9,1:46.144
2011,1,1,resta,10,1:47.562
2011,1,1,buemi,11,1:51.121
2011,1,1,sutil,12,1:51.520
2011,1,1,heidfeld,13,1:52.091
2011,1,1,perez,14,1:52.663
2011,1,1,kovalainen,15,1:52.883
2011,1,1,maldonado,16,1:53.209
2011,1,1,trulli,17,1:54.113
2011,1,1,ambrosio,18,1:54.641
2011,1,1,glock,19,1:54.969
2011,1,1,barrichello,20,1:54.971
2011,1,1,alguersuari,21,2:13.879
2011,1,1,michael_schumacher,22,2:41.428
2011,1,2,vettel,1,1:33.006
2011,1,2,hamilton,2,1:33.774
2011,1,2,webber,3,1:33.725
2011,1,2,petrov,4,1:34.363
2011,1,2,massa,5,1:34.485
2011,1,2,button,6,1:34.139
2011,1,2,rosberg,7,1:35.808
2011,1,2,alonso,8,1:36.233
2011,1,2,kobayashi,9,1:37.118
2011,1,2,resta,10,1:35.807
2011,1,2,buemi,11,1:35.399
2011,1,2,sutil,12,1:35.827
2011,1,2,heidfeld,13,1:36.505
2011,1,2,perez,14,1:37.576
2011,1,2,kovalainen,15,1:38.252
2011,1,2,maldonado,16,1:38.453
2011,1,2,barrichello,17,1:36.903
2011,1,2,trulli,18,1:39.875
2011,1,2,ambrosio,19,1:39.961
2011,1,2,glock,20,1:40.099
2011,1,2,alguersuari,21,1:40.659
2011,1,2,michael_schumacher,22,1:43.027
2011,1,3,vettel,1,1:32.713
2011,1,3,hamilton,2,1:32.900
2011,1,3,webber,3,1:33.208
2011,1,3,petrov,4,1:33.962
2011,1,3,massa,5,1:35.664
2011,1,3,button,6,1:35.756
2011,1,3,rosberg,7,1:35.436
2011,1,3,alonso,8,1:34.726
2011,1,3,kobayashi,9,1:35.483
2011,1,3,resta,10,1:35.741
2011,1,3,buemi,11,1:34.800
2011,1,3,sutil,12,1:34.667
2011,1,3,heidfeld,13,1:35.067
2011,1,3,perez,14,1:36.216
2011,1,3,barrichello,15,1:35.923
2011,1,3,kovalainen,16,1:37.378
2011,1,3,maldonado,17,1:37.543
2011,1,3,trulli,18,1:38.455
2011,1,3,ambrosio,19,1:38.516
2011,1,3,glock,20,1:38.380
2011,1,3,alguersuari,21,1:33.293
2011,1,3,michael_schumacher,22,1:36.602
2011,1,4,vettel,1,1:32.803
2011,1,4,hamilton,2,1:32.582
2011,1,4,webber,3,1:32.933
2011,1,4,petrov,4,1:33.729
2011,1,4,massa,5,1:33.900
2011,1,4,button,6,1:33.818
2011,1,4,rosberg,7,1:35.810
2011,1,4,alonso,8,1:35.355
2011,1,4,kobayashi,9,1:35.648
2011,1,4,resta,10,1:35.552
2011,1,4,buemi,11,1:34.806
2011,1,4,sutil,12,1:34.602
2011,1,4,heidfeld,13,1:35.662
2011,1,4,perez,14,1:35.617
2011,1,4,barrichello,15,1:34.564
2011,1,4,kovalainen,16,1:36.628
2011,1,4,maldonado,17,1:36.568
2011,1,4,trulli,18,1:37.289
2011,1,4,ambrosio,19,1:38.055
2011,1,4,glock,20,1:38.143
2011,1,4,alguersuari,21,1:33.144
2011,1,4,michael_schumacher,22,1:36.062
2011,1,5,vettel,1,1:32.342
2011,1,5,hamilton,2,1:32.471
2011,1,5,webber,3,1:32.899
2011,1,5,petrov,4,1:33.725
2011,1,5,massa,5,1:34.712
2011,1,5,button,6,1:35.278
2011,1,5,alonso,7,1:34.400
2011,1,5,rosberg,8,1:36.837
2011,1,5,kobayashi,9,1:35.633
2011,1,5,resta,10,1:36.121
2011,1,5,buemi,11,1:35.432
2011,1,5,sutil,12,1:35.574
2011,1,5,heidfeld,13,1:35.405
2011,1,5,perez,14,1:35.999
2011,1,5,barrichello,15,1:35.979
2011,1,5,maldonado,16,1:35.904
2011,1,5,kovalainen,17,1:37.441
2011,1,5,trulli,18,1:37.235
2011,1,5,ambrosio,19,1:37.682
2011,1,5,glock,20,1:37.637
2011,1,5,alguersuari,21,1:33.320
2011,1,5,michael_schumacher,22,1:35.839
2011,1,6,vettel,1,1:32.605
2011,1,6,hamilton,2,1:32.434
2011,1,6,webber,3,1:32.916
2011,1,6,petrov,4,1:33.573
2011,1,6,massa,5,1:33.700
