season,round,race_name,circuit_id,circuit_name,date
2011,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2011-03-27
2011,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2011-04-10
2011,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2011-04-17
2011,4,Turkish Grand Prix,istanbul,Istanbul Park,2011-05-08
2011,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2011-05-22
2011,6,Monaco Grand Prix,monaco,Circuit de Monaco,2011-05-29
2011,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2011-06-12
2011,8,European Grand Prix,valencia,Valencia Street Circuit,2011-06-26
2011,9,British Grand Prix,silverstone,Silverstone Circuit,2011-07-10
2011,10,German Grand Prix,nurburgring,Nürburgring,2011-07-24
2011,11,Hungarian Grand Prix,hungaroring,Hungaroring,2011-07-31
2011,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2011-08-28
2011,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2011-09-11
2011,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2011-09-25
2011,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2011-10-09
2011,16,Korean Grand Prix,yeongam,Korean International Circuit,2011-10-16
2011,17,Indian Grand Prix,buddh,Buddh International Circuit,2011-10-30
2011,18,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2011-11-13
2011,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2011-11-27
2012,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2012-03-18
2012,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2012-03-25
2012,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2012-04-15
2012,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2012-04-22
2012,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2012-05-13
2012,6,Monaco Grand Prix,monaco,Circuit de Monaco,2012-05-27
2012,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2012-06-10
2012,8,European Grand Prix,valencia,Valencia Street Circuit,2012-06-24
2012,9,British Grand Prix,silverstone,Silverstone Circuit,2012-07-08
2012,10,German Grand Prix,hockenheimring,Hockenheimring,2012-07-22
2012,11,Hungarian Grand Prix,hungaroring,Hungaroring,2012-07-29
2012,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2012-09-02
2012,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2012-09-09
2012,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2012-09-23
2012,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2012-10-07
2012,16,Korean Grand Prix,yeongam,Korean International Circuit,2012-10-14
2012,17,Indian Grand Prix,buddh,Buddh International Circuit,2012-10-28
2012,18,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2012-11-04
2012,19,United States Grand Prix,americas,Circuit of the Americas,2012-11-18
2012,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2012-11-25
2013,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2013-03-17
2013,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2013-03-24
2013,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2013-04-14
2013,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2013-04-21
2013,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2013-05-12
2013,6,Monaco Grand Prix,monaco,Circuit de Monaco,2013-05-26
2013,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2013-06-09
2013,8,British Grand Prix,silverstone,Silverstone Circuit,2013-06-30
2013,9,German Grand Prix,nurburgring,Nürburgring,2013-07-07
2013,10,Hungarian Grand Prix,hungaroring,Hungaroring,2013-07-28
2013,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2013-08-25
2013,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2013-09-08
2013,13,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2013-09-22
2013,14,Korean Grand Prix,yeongam,Korean International Circuit,2013-10-06
2013,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2013-10-13
2013,16,Indian Grand Prix,buddh,Buddh International Circuit,2013-10-27
2013,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2013-11-03
2013,18,United States Grand Prix,americas,Circuit of the Americas,2013-11-17
2013,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2013-11-24
2014,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2014-03-16
2014,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2014-03-30
2014,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2014-04-06
2014,4,Chinese Grand Prix,shanghai,Shanghai International Circuit,2014-04-20
2014,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2014-05-11
2014,6,Monaco Grand Prix,monaco,Circuit de Monaco,2014-05-25
2014,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2014-06-08
2014,8,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2014-06-22
2014,9,British Grand Prix,silverstone,Silverstone Circuit,2014-07-06
2014,10,German Grand Prix,hockenheimring,Hockenheimring,2014-07-20
2014,11,Hungarian Grand Prix,hungaroring,Hungaroring,2014-07-27
2014,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2014-08-24
2014,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2014-09-07
2014,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2014-09-21
2014,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2014-10-05
2014,16,Russian Grand Prix,sochi,Sochi Autodrom,2014-10-12
2014,17,United States Grand Prix,americas,Circuit of the Americas,2014-11-02
2014,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2014-11-09
2014,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2014-11-23
2015,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2015-03-15
2015,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2015-03-29
2015,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2015-04-12
2015,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2015-04-19
2015,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2015-05-10
2015,6,Monaco Grand Prix,monaco,Circuit de Monaco,2015-05-24
2015,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2015-06-07
2015,8,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2015-06-21
2015,9,British Grand Prix,silverstone,Silverstone Circuit,2015-07-05
2015,10,Hungarian Grand Prix,hungaroring,Hungaroring,2015-07-26
2015,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2015-08-23
2015,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2015-09-06
2015,13,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2015-09-20
2015,14,Japanese Grand Prix,suzuka,Suzuka Circuit,2015-09-27
2015,15,Russian Grand Prix,sochi,Sochi Autodrom,2015-10-11
2015,16,United States Grand Prix,americas,Circuit of the Americas,2015-10-25
2015,17,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2015-11-01
2015,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2015-11-15
2015,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2015-11-29
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19
2016,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2016-07-03
2016,10,British Grand Prix,silverstone,Silverstone Circuit,2016-07-10
2016,11,Hungarian Grand Prix,hungaroring,Hungaroring,2016-07-24
2016,12,German Grand Prix,hockenheimring,Hockenheimring,2016-07-31
2016,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2016-08-28
2016,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2016-09-04
2016,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2016-09-18
2016,16,Malaysian Grand Prix,sepang,Sepang International Circuit,2016-10-02
2016,17,Japanese Grand Prix,suzuka,Suzuka Circuit,2016-10-09
2016,18,United States Grand Prix,americas,Circuit of the Americas,2016-10-23
2016,19,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2016-10-30
2016,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2016-11-13
2016,21,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2016-11-27
2017,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2017-03-26
2017,2,Chinese Grand Prix,shanghai,Shanghai International Circuit,2017-04-09
2017,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2017-04-16
2017,4,Russian Grand Prix,sochi,Sochi Autodrom,2017-04-30
2017,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2017-05-14
2017,6,Monaco Grand Prix,monaco,Circuit de Monaco,2017-05-28
2017,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2017-06-11
2017,8,Azerbaijan Grand Prix,baku,Baku City Circuit,2017-06-25
2017,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2017-07-09
2017,10,British Grand Prix,silverstone,Silverstone Circuit,2017-07-16
2017,11,Hungarian Grand Prix,hungaroring,Hungaroring,2017-07-30
2017,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2017-08-27
2017,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2017-09-03
2017,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2017-09-17
2017,15,Malaysian Grand Prix,sepang,Sepang International Circuit,2017-10-01
2017,16,Japanese Grand Prix,suzuka,Suzuka Circuit,2017-10-08
