season,round,driver_id,constructor,grid,position,status,laps,points
2011,1,vettel,red_bull,1,1,Finished,58,25.0
2011,1,hamilton,mclaren,2,2,Finished,58,18.0
2011,1,petrov,renault,6,3,Finished,58,15.0
2011,1,alonso,ferrari,5,4,Finished,58,12.0
2011,1,webber,red_bull,3,5,Finished,58,10.0
2011,1,button,mclaren,4,6,Finished,58,8.0
2011,1,massa,ferrari,8,7,Finished,58,6.0
2011,1,buemi,toro_rosso,10,8,+1 Lap,57,4.0
2011,1,sutil,force_india,16,9,+1 Lap,57,2.0
2011,1,resta,force_india,14,10,+1 Lap,57,1.0
2011,1,alguersuari,toro_rosso,12,11,+1 Lap,57,0.0
2011,1,heidfeld,renault,18,12,+1 Lap,57,0.0
2011,1,trulli,lotus_racing,20,13,+2 Laps,56,0.0
2011,1,ambrosio,virgin,22,14,+4 Laps,54,0.0
2011,1,glock,virgin,21,15,+9 Laps,49,0.0
2011,1,barrichello,williams,17,16,Transmission,48,0.0
2011,1,rosberg,mercedes,7,17,Collision,22,0.0
2011,1,kovalainen,lotus_racing,19,18,Water leak,19,0.0
2011,1,michael_schumacher,mercedes,11,19,Collision,19,0.0
2011,1,maldonado,williams,15,20,Transmission,9,0.0
2011,1,kobayashi,sauber,9,21,Disqualified,58,0.0
2011,1,perez,sauber,13,22,Disqualified,58,0.0
2011,2,vettel,red_bull,1,1,Finished,56,25.0
2011,2,button,mclaren,4,2,Finished,56,18.0
2011,2,heidfeld,renault,6,3,Finished,56,15.0
2011,2,webber,red_bull,3,4,Finished,56,12.0
2011,2,massa,ferrari,7,5,Finished,56,10.0
2011,2,alonso,ferrari,5,6,Finished,56,8.0
2011,2,kobayashi,sauber,10,7,Finished,56,6.0
2011,2,hamilton,mclaren,2,8,Finished,56,4.0
2011,2,michael_schumacher,mercedes,11,9,Finished,56,2.0
2011,2,resta,force_india,14,10,Finished,56,1.0
2011,2,sutil,force_india,17,11,+1 Lap,55,0.0
2011,2,rosberg,mercedes,9,12,+1 Lap,55,0.0
2011,2,buemi,toro_rosso,12,13,+1 Lap,55,0.0
2011,2,alguersuari,toro_rosso,13,14,+1 Lap,55,0.0
2011,2,kovalainen,lotus_racing,19,15,+1 Lap,55,0.0
2011,2,glock,virgin,21,16,+2 Laps,54,0.0
2011,2,petrov,renault,8,17,Accident,52,0.0
2011,2,liuzzi,hrt,23,18,+10 Laps,46,0.0
2011,2,ambrosio,virgin,22,19,Accident,42,0.0
2011,2,trulli,lotus_racing,20,20,Clutch,31,0.0
2011,2,perez,sauber,16,21,Accident,23,0.0
2011,2,barrichello,williams,15,22,Gearbox,22,0.0
2011,2,karthikeyan,hrt,24,23,+42 Laps,14,0.0
2011,2,maldonado,williams,18,24,Engine misfire,8,0.0
2011,3,hamilton,mclaren,3,1,Finished,56,25.0
2011,3,vettel,red_bull,1,2,Finished,56,18.0
2011,3,webber,red_bull,18,3,Finished,56,15.0
2011,3,button,mclaren,2,4,Finished,56,12.0
2011,3,rosberg,mercedes,4,5,Finished,56,10.0
2011,3,massa,ferrari,6,6,Finished,56,8.0
2011,3,alonso,ferrari,5,7,Finished,56,6.0
2011,3,michael_schumacher,mercedes,14,8,Finished,56,4.0
2011,3,petrov,renault,10,9,Finished,56,2.0
2011,3,kobayashi,sauber,13,10,Finished,56,1.0
2011,3,resta,force_india,8,11,Finished,56,0.0
2011,3,heidfeld,renault,16,12,Finished,56,0.0
2011,3,barrichello,williams,15,13,Finished,56,0.0
2011,3,buemi,toro_rosso,9,14,Finished,56,0.0
2011,3,sutil,force_india,11,15,+1 Lap,55,0.0
2011,3,kovalainen,lotus_racing,19,16,+1 Lap,55,0.0
2011,3,perez,sauber,12,17,+1 Lap,55,0.0
2011,3,maldonado,williams,17,18,+1 Lap,55,0.0
2011,3,trulli,lotus_racing,20,19,+1 Lap,55,0.0
2011,3,ambrosio,virgin,21,20,+2 Laps,54,0.0
2011,3,glock,virgin,22,21,+2 Laps,54,0.0
2011,3,liuzzi,hrt,23,22,+2 Laps,54,0.0
2011,3,karthikeyan,hrt,24,23,+2 Laps,54,0.0
2011,3,alguersuari,toro_rosso,7,24,Wheel,9,0.0
2011,4,vettel,red_bull,1,1,Finished,58,25.0
2011,4,webber,red_bull,2,2,Finished,58,18.0
2011,4,alonso,ferrari,5,3,Finished,58,15.0
2011,4,hamilton,mclaren,4,4,Finished,58,12.0
2011,4,rosberg,mercedes,3,5,Finished,58,10.0
2011,4,button,mclaren,6,6,Finished,58,8.0
2011,4,heidfeld,renault,9,7,Finished,58,6.0
